"pathway" "deceacelist"
"556" "Cardiovascular Diseases" "Selenium Micronutrient Network;Blood Clotting Cascade;Statin Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"557" "Infertility, Male" ""
"558" "Pneumonia, Viral" "ACE Inhibitor Pathway"
"559" "Pre-Eclampsia" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Angiogenesis;Blood Clotting Cascade;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"560" "Aortic Aneurysm, Thoracic" "Matrix Metalloproteinases;AGE/RAGE pathway"
"561" "Hearing Loss, Sensorineural" ""
"562" "Glomerulosclerosis, Focal Segmental" ""
"563" "Purpura, Thrombocytopenic, Idiopathic" ""
"564" "Purpura, Thrombotic Thrombocytopenic" "Complement and Coagulation Cascades"
"565" "Metabolism, Inborn Errors" ""
"566" "HYPERTENSION, ESSENTIAL" "ACE Inhibitor Pathway;Effects of Nitric Oxide"
"567" "Vascular Diseases" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Statin Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Senescence and Autophagy;Folate Metabolism"
"568" "Hyperlipidemias" "AMPK Signaling;Adipogenesis;Statin Pathway;SREBP signalling;Vitamin B12 Metabolism;Fatty Acid Beta Oxidation;SREBF and miR33 in cholesterol and lipid homeostasis;Type II diabetes mellitus"
"569" "Arthritis, Rheumatoid" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Allograft Rejection;Estrogen signaling pathway;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;TCR Signaling Pathway;Inflammatory Response Pathway;Osteopontin Signaling;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Apoptosis Modulation and Signaling;Apoptosis;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;EBV LMP1 signaling;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"570" "Spinocerebellar Ataxias" ""
"571" "Anuria" ""
"572" "Hypertension, Malignant" "ACE Inhibitor Pathway"
"573" "Proteinuria" "Selenium Micronutrient Network;Allograft Rejection;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"574" "Retinopathy of Prematurity" "Angiogenesis;ACE Inhibitor Pathway"
"575" "Heart Defects, Congenital" "Heart Development;Endothelin Pathways;Folate Metabolism"
"576" "Splenic Diseases" "Estrogen metabolism;Nuclear Receptors in Lipid Metabolism and Toxicity;Tamoxifen metabolism;Aflatoxin B1 metabolism;Aryl Hydrocarbon Receptor;Arylamine metabolism;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway"
"577" "Ureteral Neoplasms" "Integrated Breast Cancer Pathway"
"578" "Aicardi Syndrome" ""
"579" "Candidiasis" ""
"580" "Polyendocrinopathies, Autoimmune" "Allograft Rejection;Cytokines and Inflammatory Response"
"581" "Skin Diseases, Genetic" ""
"582" "Porphyrias, Hepatic" "Heme Biosynthesis"
"583" "Porphyrias" "Heme Biosynthesis"
"584" "Glomerulonephritis, Membranous" "Selenium Micronutrient Network;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism"
"585" "Meningitis, Aseptic" "Vitamin B12 Metabolism"
"586" "Muscular Diseases" ""
"587" "Thrombocytopenia" ""
"588" "Gout" ""
"589" "Dermatitis, Occupational" "Metapathway biotransformation;Arylamine metabolism;Fatty Acid Omega Oxidation"
"590" "Colonic Neoplasms" "EPO Receptor Signaling;Nanoparticle-mediated activation of receptor signaling;Toll-like receptor signaling pathway;IL-7 Signaling Pathway;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Mismatch repair;Focal Adhesion;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Irinotecan Pathway;Structural Pathway of Interleukin 1 (IL-1);Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;MAPK Cascade;p38 MAPK Signaling Pathway;Signaling Pathways in Glioblastoma"
"591" "Infarction, Middle Cerebral Artery" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Osteopontin Signaling;Endochondral Ossification;Senescence and Autophagy"
"592" "Hypophosphatasia" "Endochondral Ossification"
"593" "Craniofacial Abnormalities" "Endochondral Ossification;Heart Development;Neural Crest Differentiation;BMP Signalling and Regulation"
"594" "Intracranial Aneurysm" "Matrix Metalloproteinases;Angiogenesis"
"595" "Anorexia Nervosa" "Monoamine GPCRs;SIDS Susceptibility Pathways"
"596" "Gingival Hypertrophy" ""
"597" "Sarcoidosis" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;NOD pathway;Adipogenesis;Allograft Rejection;Spinal Cord Injury;Hypertrophy Model;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"598" "Retinal Detachment" "Integrated Cancer pathway;Allograft Rejection;FAS pathway and Stress induction of HSP regulation;Alzheimers Disease;DNA Damage Response;Spinal Cord Injury;Apoptosis Modulation by HSP70;Parkinsons Disease Pathway;Apoptosis Modulation and Signaling;Apoptosis;miRNA Regulation of DNA Damage Response;Amyotrophic lateral sclerosis (ALS);TNF alpha Signaling Pathway;Integrated Pancreatic Cancer Pathway;Endothelin Pathways"
"599" "Colorectal Neoplasms, Hereditary Nonpolyposis" "Integrated Cancer pathway;Mismatch repair;Integrated Breast Cancer Pathway"
"600" "Glioblastoma" "B Cell Receptor Signaling Pathway;EPO Receptor Signaling;Type II interferon signaling (IFNG);Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Toll-like receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;BDNF signaling pathway;Wnt Signaling Pathway Netpath;Allograft Rejection;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;Interferon type I signaling pathways;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Regulation of Microtubule Cytoskeleton;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-9 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Insulin Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;EGF/EGFR Signaling Pathway;IL-1 signaling pathway;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);PDGF Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Serotonin Receptor 4/6/7 and NR3C Signaling;IL-2 Signaling Pathway;FSH signaling pathway"
"601" "Intestinal Neoplasms" "Selenium Micronutrient Network;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;DNA Damage Response (only ATM dependent);Leptin signaling pathway;DNA Damage Response;Gastric cancer network 2;G1 to S cell cycle control;Wnt Signaling Pathway;Androgen receptor signaling pathway;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;miRNAs involved in DNA damage response;Folate Metabolism"
"602" "Hyperlipoproteinemia Type III" "Statin Pathway"
"603" "Hyperlipoproteinemia Type IV" "Statin Pathway"
"604" "Glioma" "Toll-like receptor signaling pathway;Angiogenesis;Integrated Cancer pathway;Allograft Rejection;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Structural Pathway of Interleukin 1 (IL-1);Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Notch Signaling Pathway;G1 to S cell cycle control;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;ATM Signaling Pathway;Physiological and Pathological Hypertrophy  of the Heart;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;AGE/RAGE pathway;ErbB Signaling Pathway;EBV LMP1 signaling;PDGF Pathway;TNF alpha Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;Neural Crest Differentiation;IL-2 Signaling Pathway"
"605" "Arteriosclerosis" "Selenium Micronutrient Network;Adipogenesis;Blood Clotting Cascade;Statin Pathway;ACE Inhibitor Pathway;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Folate Metabolism"
"606" "Multiple Sclerosis, Relapsing-Remitting" "Spinal Cord Injury"
"607" "Phencyclidine Abuse" "Glycogen Metabolism;Calcium Regulation in the Cardiac Cell;Statin Pathway;SREBP signalling;Alzheimers Disease;Myometrial Relaxation and Contraction Pathways;Endothelin Pathways"
"608" "Amnesia" "SIDS Susceptibility Pathways;Spinal Cord Injury;Cytokines and Inflammatory Response"
"609" "Neurodegenerative Diseases" "Parkin-Ubiquitin Proteasomal System pathway;Corticotropin-releasing hormone;TWEAK Signaling Pathway;Alzheimers Disease;Parkinsons Disease Pathway;Apoptosis Modulation and Signaling;AGE/RAGE pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway"
"610" "Carcinoma, Adenoid Cystic" ""
"611" "Neuromyelitis Optica" "Spinal Cord Injury"
"612" "Movement Disorders" "Monoamine GPCRs"
"613" "Lipidoses" "SREBP signalling"
"614" "Sarcoma, Alveolar Soft Part" ""
"615" "Machado-Joseph Disease" ""
"616" "Multiple System Atrophy" "Parkinsons Disease Pathway"
"617" "Small Cell Lung Carcinoma" "Signaling Pathways in Glioblastoma"
"618" "Epilepsy, Tonic-Clonic" ""
"619" "Adenocarcinoma, Clear Cell" "Angiogenesis;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Oncostatin M Signaling Pathway;TP53 Network;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy"
"620" "Chondrosarcoma, Mesenchymal" "FAS pathway and Stress induction of HSP regulation;Spinal Cord Injury;Endochondral Ossification"
"621" "Leukemia, Megakaryoblastic, Acute" ""
"622" "Hermanski-Pudlak Syndrome" ""
"623" "Microcephaly" ""
"624" "Neisseriaceae Infections" "Complement Activation, Classical Pathway"
"625" "Hypoglycemia" "Glycolysis and Gluconeogenesis;Adipogenesis;Aryl Hydrocarbon Receptor;Alzheimers Disease;SIDS Susceptibility Pathways;Vitamin B12 Metabolism;Nuclear Receptors;Cori Cycle;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"626" "Anemia, Hypoplastic, Congenital" "Fluoropyrimidine Activity;Endothelin Pathways"
"627" "Anemia, Sickle Cell" "Effects of Nitric Oxide"
"628" "beta-Thalassemia" ""
"629" "Spherocytosis, Hereditary" ""
"630" "Diabetic Neuropathies" "Selenium Micronutrient Network;Corticotropin-releasing hormone;Statin Pathway;Oxidative Stress;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Endochondral Ossification;AGE/RAGE pathway;Folate Metabolism"
"631" "Uterine Cervical Neoplasms" "Matrix Metalloproteinases;Integrated Cancer pathway;Allograft Rejection;DNA Damage Response (only ATM dependent);FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;DNA Damage Response;Gastric cancer network 2;G1 to S cell cycle control;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response"
"632" "Hyperparathyroidism" "Osteoblast Signaling;Vitamin D Metabolism"
"633" "Hepatitis C" "EPO Receptor Signaling;Type III interferon signaling;Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Tamoxifen metabolism;IL-7 Signaling Pathway;Integrated Cancer pathway;Adipogenesis;Allograft Rejection;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Statin Pathway;Interferon type I signaling pathways;Aryl Hydrocarbon Receptor;TCR Signaling Pathway;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-9 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Benzo(a)pyrene metabolism;Apoptosis;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;Regulation of toll-like receptor signaling pathway;ErbB Signaling Pathway;EBV LMP1 signaling;IL-6 signaling pathway;SREBF and miR33 in cholesterol and lipid homeostasis;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response;IL-2 Signaling Pathway;Folate Metabolism"
"634" "Vitiligo" "Sulindac Metabolic Pathway;Allograft Rejection;Cytokines and Inflammatory Response"
"635" "Scleroderma, Systemic" "EPO Receptor Signaling;Nanoparticle-mediated activation of receptor signaling;Matrix Metalloproteinases;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;Toll-like receptor signaling pathway;Signal Transduction of S1P Receptor;Angiogenesis;Allograft Rejection;Corticotropin-releasing hormone;TWEAK Signaling Pathway;TCR Signaling Pathway;Inflammatory Response Pathway;TGF Beta Signaling Pathway;ACE Inhibitor Pathway;IL-3 Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;TSLP Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;IL-6 signaling pathway;Alpha 6 Beta 4 signaling pathway;MAPK Signaling Pathway;Senescence and Autophagy;MAPK Cascade;Cytokines and Inflammatory Response;IL-2 Signaling Pathway;FSH signaling pathway;Folate Metabolism"
"636" "Staphylococcal Infections" "Allograft Rejection;Cytokines and Inflammatory Response"
"637" "Measles" ""
"638" "Arthritis" "NOD pathway;Allograft Rejection;TWEAK Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;EBV LMP1 signaling;Cytokines and Inflammatory Response;Folate Metabolism"
"639" "Beckwith-Wiedemann Syndrome" ""
"640" "Glaucoma" "Allograft Rejection;Spinal Cord Injury;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;Apoptosis;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"641" "Pancreatitis, Chronic" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;TWEAK Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Apoptosis Modulation and Signaling;Apoptosis;Fatty Acid Omega Oxidation;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"642" "Urinary Bladder, Neurogenic" ""
"643" "Fetal Diseases" ""
"644" "Addison Disease" "Nuclear Receptors in Lipid Metabolism and Toxicity;Allograft Rejection;Vitamin D Metabolism"
"645" "Goiter" "Thyroxine (Thyroid Hormone) Production"
"646" "Legg-Calve-Perthes Disease" ""
"647" "Iron Metabolism Disorders" ""
"648" "Amenorrhea" "Ovarian Infertility Genes;FSH signaling pathway"
"649" "Porphyria Cutanea Tarda" "Heme Biosynthesis"
"650" "Persistent Fetal Circulation Syndrome" "Angiogenesis;ACE Inhibitor Pathway;Urea cycle and metabolism of amino groups;Endothelin Pathways;Effects of Nitric Oxide"
"651" "Malaria, Falciparum" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Spinal Cord Injury;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"652" "Morphine Dependence" "Hypothetical Network for Drug Addiction"
"653" "Puberty, Delayed" ""
"654" "Retinitis" ""
"655" "Stereotypic Movement Disorder" ""
"656" "Leishmaniasis, Visceral" "Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"657" "Myocarditis" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Selenium Micronutrient Network;Allograft Rejection;Cytokines and Inflammatory Response;Folate Metabolism"
"658" "Eyelid Diseases" "Cytokines and Inflammatory Response"
