"pathway" "deceacelist"
"239" "Cytokines and Inflammatory Response" "BLADDER CANCER;Urinary Bladder Neoplasms;Optic Atrophy, Hereditary, Leber;Lupus Erythematosus, Systemic;Autistic Disorder;Atherosclerosis;Brain Ischemia;Kidney Diseases;Meningococcal Infections;Hypertension, Pregnancy-Induced;Severe Acute Respiratory Syndrome;Spinal Cord Diseases;Heart Valve Diseases;Diabetes Mellitus;Asthma;Anemia;Brain Diseases;Hemolytic-Uremic Syndrome;Hepatitis, Autoimmune;Spondylitis, Ankylosing;Osteoporosis;Multiple Sclerosis;Colitis, Ulcerative;Neoplasms, Basal Cell;Celiac Disease;Soft Tissue Neoplasms;Agammaglobulinemia;Dermatomyositis;Pemphigus;Tuberculosis, Pulmonary;Uterine Neoplasms;Endometriosis;Rhinitis;Dengue Hemorrhagic Fever;Leishmaniasis;Scleroderma, Localized;Somatosensory Disorders;Periodontal Diseases;Cystitis, Interstitial;Granulomatous Disease, Chronic;Acidosis, Lactic;Seminoma;Enterocolitis, Necrotizing;Behcet Syndrome;Hepatitis, Chronic;Leishmaniasis, Mucocutaneous;Trichuriasis;Placenta Diseases;Ophthalmoplegia, Chronic Progressive External;Tuberculosis, Bovine;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Schistosomiasis mansoni;Nephrosis, Lipoid;alpha 1-Antitrypsin Deficiency;Abortion, Habitual;Bacterial Infections;Cardiovirus Infections;Mitral Valve Insufficiency;Hypergammaglobulinemia;Leprosy, Tuberculoid;Rheumatic Heart Disease;Stress Disorders, Post-Traumatic;Fallopian Tube Diseases;Renal Artery Obstruction;Meningitis, Pneumococcal;Scleroderma, Limited;Aortitis;Pneumoconiosis;Otitis Media with Effusion;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Trypanosomiasis, African;Toxoplasmosis, Ocular;Lymphadenitis;Lyme Neuroborreliosis;Lichen Planus;Stomatitis, Aphthous;Malaria, Vivax;Hypoxia-Ischemia, Brain;Endocarditis;Pulmonary Alveolar Proteinosis;Filariasis;Myoepithelioma;Ovarian Neoplasms;Anemia, Aplastic;Camurati-Engelmann Syndrome;Nephrotic Syndrome;Burkitt Lymphoma;Neutropenia;Hypertension;Diabetes Mellitus, Type 1;Pancreatic Neoplasms;Berylliosis;Cardiovascular Diseases;Pre-Eclampsia;Purpura, Thrombocytopenic, Idiopathic;Vascular Diseases;Arthritis, Rheumatoid;Proteinuria;Polyendocrinopathies, Autoimmune;Skin Diseases, Genetic;Meningitis, Aseptic;Thrombocytopenia;Anorexia Nervosa;Sarcoidosis;Multiple Sclerosis, Relapsing-Remitting;Amnesia;Hypoglycemia;Uterine Cervical Neoplasms;Hepatitis C;Vitiligo;Scleroderma, Systemic;Staphylococcal Infections;Arthritis;Glaucoma;Pancreatitis, Chronic;Malaria, Falciparum;Puberty, Delayed;Leishmaniasis, Visceral;Myocarditis;Eyelid Diseases;Hyperbilirubinemia;Polymyositis;Arthritis, Psoriatic;Hyperglycemia;Eosinophilia-Myalgia Syndrome;Compartment Syndromes;Uveomeningoencephalitic Syndrome;Appendicitis;Bronchiolitis Obliterans;Job's Syndrome;Prostatitis;MERRF Syndrome;Eosinophilia;Stomach Ulcer;Candidiasis, Vulvovaginal;Pneumonia, Pneumococcal;Cerebral Palsy;Fetal Membranes, Premature Rupture;Food Hypersensitivity;Penile Induration;Sjogren's Syndrome;Rheumatic Fever;Malaria, Cerebral;Guillain-Barre Syndrome;Multiple Sclerosis, Chronic Progressive;Respiratory Syncytial Virus Infections;Chlamydia Infections;Obstetric Labor, Premature;Dermatitis, Irritant;Leprosy, Lepromatous;Vaginosis, Bacterial;Tuberculosis, Pleural;Polymyalgia Rheumatica;Churg-Strauss Syndrome;Common Cold;Gingival Overgrowth;Skin Diseases, Vesiculobullous;Trachoma;Giardiasis;Lymphohistiocytosis, Hemophagocytic;Molluscum Contagiosum;Hantavirus Infections;Hyperemesis Gravidarum;Aneurysm;Monoclonal Gammopathy of Undetermined Significance;Thyroid Nodule;Craniopharyngioma;Paracoccidioidomycosis;Epidermolysis Bullosa Acquisita;Sudden Infant Death;Aggressive Periodontitis;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Liver Neoplasms;Coronary Restenosis;Heart Failure;Hypertension, Pulmonary;Stroke;Liver Diseases;Diabetes, Gestational;Glomerulonephritis;Hernia, Hiatal;Thyroiditis, Autoimmune;Skin Diseases;Polycystic Ovary Syndrome;HIV Infections;Hypersensitivity;Respiratory Distress Syndrome, Adult;Uveitis;Carcinoma, Basal Cell;Leukopenia;Dermatitis, Atopic;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Uremia;Leukemia-Lymphoma, Adult T-Cell;Pulmonary Fibrosis;Hypercalcemia;Migraine without Aura;Melanoma, Experimental;Leishmaniasis, Cutaneous;Malaria;BILIARY CIRRHOSIS, PRIMARY, 1;Myasthenia Gravis;Pancreatitis;Oral Submucous Fibrosis;Fatty Liver;Fatty Liver, Alcoholic;Agranulocytosis;Pneumonia;Stomatitis;Graves Disease;Cerebrovascular Disorders;Peptic Ulcer;Leiomyoma;Encephalitis;Mucocutaneous Lymph Node Syndrome;Acquired Immunodeficiency Syndrome;Vaginal Neoplasms;Dermatitis, Allergic Contact;Tuberous Sclerosis;Pregnancy Complications;Kearns-Sayre Syndrome;Mitochondrial Myopathies;Bronchopulmonary Dysplasia;Lymphopenia;Leprosy;Sarcoma, Kaposi;Schistosomiasis japonica;Otitis Media;Esophagitis;Eye Diseases;Candidiasis, Chronic Mucocutaneous;Mycobacterium Infections;Dry Eye Syndromes;Pneumococcal Infections;Listeriosis;Hypothyroidism;Gastritis;Leukomalacia, Periventricular;Pneumonia, Pneumocystis;Melioidosis;Silicosis;Fibromyalgia;Subacute Sclerosing Panencephalitis;Giant Cell Arteritis;Onchocerciasis;Brucellosis;Scleroderma, Diffuse;Warts;Pemphigoid, Benign Mucous Membrane;Blood Group Incompatibility;Chorioretinitis;Sezary Syndrome;Purpura;Anaplasmosis;Glossitis, Benign Migratory;Meniere Disease;Keratoconjunctivitis Sicca;Tracheal Stenosis;OVARIAN CANCER;Cystic Fibrosis;MELAS Syndrome;Liver Cirrhosis;Melanoma;Glomerulonephritis, IGA;Myocardial Infarction;Cerebral Infarction;Myocardial Ischemia;Inappropriate ADH Syndrome;Lymphoma, Follicular;Vasculitis;Liver Cirrhosis, Biliary;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Hodgkin Disease;Narcolepsy;Dermatitis, Contact;Hepatitis B;Periodontitis;Anus Neoplasms;Legionnaires' Disease;Myositis;HIV Wasting Syndrome;Lymphoproliferative Disorders;Bronchitis, Chronic;Bronchitis;Retinal Artery Occlusion;Cholangitis, Sclerosing;Paraparesis, Tropical Spastic;Gastritis, Atrophic;Vasculitis, Leukocytoclastic, Cutaneous;Tuberculosis, Miliary;Typhoid Fever;Histiocytosis, Langerhans-Cell;Tuberculosis, Meningeal;Lyme Disease;Boutonneuse Fever;Schistosomiasis haematobia"
"240" "Folate-Alcohol and Cancer Pathway" "Congenital Abnormalities;Rectal Neoplasms;Meningeal Neoplasms;Neoplasms, Squamous Cell;Eclampsia;Lateral Sinus Thrombosis;Intracranial Thrombosis;Encephalomalacia;Digestive System Neoplasms;Gastrointestinal Neoplasms;Down Syndrome;Hyperhomocysteinemia;Meningioma;Blood Coagulation Disorders, Inherited;Foramen Ovale, Patent"
"241" "IL-2 Signaling Pathway" "Carcinoma, Ductal;Keratosis, Actinic;Ovarian Neoplasms;Glioblastoma;Hepatitis C;Cholangiocarcinoma;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;LEOPARD Syndrome;Liver Neoplasms;Head and Neck Neoplasms;Lymphoma;OVARIAN CANCER;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia"
"242" "FSH signaling pathway" "Alexander Disease;Ovarian Neoplasms;Glioblastoma;Tuberous Sclerosis;OVARIAN CANCER"
"243" "Arachidonate Epoxygenase / Epoxide Hydrolase" "Essential Tremor"
"244" "Secretion of Hydrochloric Acid in Parietal Cells" ""
"245" "Mitochondrial LC-Fatty Acid Beta-Oxidation" "Lipid Metabolism, Inborn Errors"
"246" "miRNAs involved in DNA damage response" "Papilloma"
"247" "Folate Metabolism" "Alzheimer Disease;Factor VII Deficiency;Obesity;Familial Mediterranean Fever;Lupus Erythematosus, Systemic;Autistic Disorder;Cleft Lip;Nervous System Diseases;Atherosclerosis;Coronary Disease;Brain Ischemia;Kidney Diseases;Hypertension, Pregnancy-Induced;Spinal Cord Diseases;Diabetes Mellitus;Ischemia;Asthma;Anemia;Nephrosis;Spondylitis, Ankylosing;Multiple Sclerosis;Colitis, Ulcerative;Celiac Disease;Soft Tissue Neoplasms;Agammaglobulinemia;Meningitis;Acatalasia;Pulmonary Embolism;Homocystinuria;Spinal Dysraphism;Tuberculosis, Pulmonary;Endometriosis;Dengue Hemorrhagic Fever;Hyperparathyroidism, Secondary;Leishmaniasis;Periodontal Diseases;Cystitis, Interstitial;Folic Acid Deficiency;Blood Coagulation Disorders;Sinus Thrombosis, Intracranial;Thrombophilia;Brain Infarction;Behcet Syndrome;Diabetic Angiopathies;Hyperlipidemia, Familial Combined;Leukostasis;Hepatitis, Chronic;Leishmaniasis, Mucocutaneous;Placenta Diseases;Tuberculosis, Bovine;Angina, Unstable;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Meningeal Neoplasms;Schistosomiasis mansoni;Abortion, Habitual;Cardiovirus Infections;Neoplasms, Squamous Cell;Syndrome;Ischemic Attack, Transient;Thrombophlebitis;Bronchiolitis;Vitamin B 12 Deficiency;Stress Disorders, Post-Traumatic;Scleroderma, Limited;Eclampsia;Pneumoconiosis;Otitis Media with Effusion;Hemoglobin C Disease;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Trypanosomiasis, African;Lyme Neuroborreliosis;Stomatitis, Aphthous;Malaria, Vivax;Hypoxia-Ischemia, Brain;Choline Deficiency;Lateral Sinus Thrombosis;Ovarian Neoplasms;Fabry Disease;Nephrotic Syndrome;Burkitt Lymphoma;Neutropenia;Heart Diseases;Hypertension;Diabetes Mellitus, Type 1;Adenocarcinoma;Pancreatic Neoplasms;Berylliosis;Cardiovascular Diseases;Infertility, Male;Pre-Eclampsia;Vascular Diseases;Arthritis, Rheumatoid;Proteinuria;Heart Defects, Congenital;Glomerulonephritis, Membranous;Colonic Neoplasms;Sarcoidosis;Intestinal Neoplasms;Arteriosclerosis;Hypoglycemia;Anemia, Sickle Cell;Diabetic Neuropathies;Hepatitis C;Scleroderma, Systemic;Arthritis;Glaucoma;Pancreatitis, Chronic;Malaria, Falciparum;Leishmaniasis, Visceral;Myocarditis;Alopecia Areata;Polymyositis;Disseminated Intravascular Coagulation;Hypoprothrombinemias;Skin Diseases, Vascular;Hematologic Diseases;Arthritis, Psoriatic;Hyperglycemia;Appendicitis;Delirium, Dementia, Amnestic, Cognitive Disorders;Stomach Ulcer;Osteonecrosis;Arterial Occlusive Diseases;Cardiac Tamponade;Intracranial Thrombosis;Meningoencephalitis;Pericardial Effusion;Cerebral Palsy;Puerperal Disorders;Fetal Membranes, Premature Rupture;Malabsorption Syndromes;Rheumatic Fever;Obstetric Labor, Premature;Dermatitis, Irritant;Polymyalgia Rheumatica;Pleural Neoplasms;Giant Cell Tumors;Hantavirus Infections;Aneurysm;Monoclonal Gammopathy of Undetermined Significance;Cystadenocarcinoma, Mucinous;Encephalomalacia;Diabetes Mellitus, Type 2;Lung Neoplasms;Hyperlipoproteinemia Type II;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Liver Neoplasms;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Stroke;Liver Diseases;Diabetes, Gestational;Metabolic Syndrome X;Aortic Aneurysm, Abdominal;Diabetic Retinopathy;Glomerulonephritis;Thyroiditis, Autoimmune;Polycystic Ovary Syndrome;HIV Infections;Hypersensitivity;Respiratory Distress Syndrome, Adult;Hypercholesterolemia;Carotid Stenosis;Multiple Myeloma;Sarcoma, Synovial;Cleft Palate;Osteosarcoma;Hemochromatosis;Pulmonary Fibrosis;Parkinson Disease;Down Syndrome;Migraine without Aura;Keratosis;Hyperhomocysteinemia;Leishmaniasis, Cutaneous;Malaria;Barrett Esophagus;Pancreatitis;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Pancytopenia;Graves Disease;Methemoglobinemia;Leukoencephalopathies;Cerebrovascular Disorders;Encephalitis;Hyperinsulinism;alpha-Thalassemia;Acquired Immunodeficiency Syndrome;Dermatitis, Allergic Contact;Tuberous Sclerosis;Pregnancy Complications;Mitochondrial Myopathies;Lymphopenia;Migraine with Aura;Meningioma;Blood Coagulation Disorders, Inherited;Myotonic Dystrophy;Schistosomiasis japonica;Esophagitis;Pneumococcal Infections;Gastritis;Antiphospholipid Syndrome;Leukomalacia, Periventricular;Coronary Stenosis;Silicosis;Subacute Sclerosing Panencephalitis;Giant Cell Arteritis;Brucellosis;Scleroderma, Diffuse;Pemphigoid, Benign Mucous Membrane;Anaplasmosis;Glossitis, Benign Migratory;Hepatopulmonary Syndrome;Thromboangiitis Obliterans;Tangier Disease;Macular Degeneration;OVARIAN CANCER;Liver Cirrhosis;Anemia, Sideroblastic;Glomerulonephritis, IGA;Myocardial Infarction;Cerebral Infarction;Bipolar Disorder;Amino Acid Metabolism, Inborn Errors;Nephritis, Interstitial;Carotid Artery Diseases;Lymphoma, Follicular;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Hodgkin Disease;Dermatitis, Contact;Hepatitis B;Bile Duct Neoplasms;Retinal Vein Occlusion;Periodontitis;Bronchiectasis;Demyelinating Diseases;HIV Wasting Syndrome;Pregnancy Complications, Hematologic;Gastritis, Atrophic;Uveitis, Anterior;Streptococcal Infections;Histiocytosis, Langerhans-Cell;Foramen Ovale, Patent;Influenza, Human;Lyme Disease;Boutonneuse Fever;Vitamin K Deficiency;Hyaline Membrane Disease"
"248" "Effects of Nitric Oxide" "Kidney Diseases;Hypertension, Portal;Pyloric Stenosis;Fabry Disease;HYPERTENSION, ESSENTIAL;Anemia, Sickle Cell;beta-Thalassemia;Persistent Fetal Circulation Syndrome;Mitochondrial Diseases;Cerebral Palsy;Epilepsia Partialis Continua;Paracoccidioidomycosis;Heart Failure;Malaria;Constipation;alpha-Thalassemia;Pneumonia, Aspiration;Hypertension, Renovascular;Thalassemia;Giant Cell Arteritis;Gastroparesis;Cystic Fibrosis;Pulmonary Disease, Chronic Obstructive;Glucosephosphate Dehydrogenase Deficiency;Intestinal Perforation"
